ID,datetime,session_start,time,sw_flip,sw_offset,sw_subwave_num,sw_number,mo_y,mo_x,mo_fake_release,mo_act_drag,mo_lobe,level,version,device_timezone,device_OS,time_diff,coord_diff,total_sw_events,first,last,target_location,action_location,action_location_normalized,actions,actions_normalized,collect,false_collect,action_sequences,action_sequences_str,count,sw_start,last_sw,ba_time,ba_position,ba_ID,ba_age,last_ba_sw,is_last_sw,session_score,session_nr,threshold,session_cleared,learned,learning,diff,score,previous_score,prev_action_sequences_str,action_seq_frequency,rank,rank_pct,prev_rank,top,top_prev,puzzle_attempt,cum_score,trial_score,cum_score_s6,cum_score_last_6,threshold_puzzle,first_threshold,anon_id
1608333952_4174515712,2021-02-03 13:21:39,2099376,2111427.0,False,1.0,3.0,3.0,165.00003,2.073792,0.0,False,1.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,3767.0,-328.91507,6.0,True,False,1.0,0.0,5.0,0.0,5.0,False,False,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]","[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,2111427.0,6.0,2113915.0,1.0,0.0,6.0,6.0,False,216.0,15.0,True,8.0,True,False,0.0,36.0,,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,71.0,0.9924783175992018,71.0,other,other,62,1171.0,36.0,955.0,216.0,True,12.0,1290
1608333952_4174515712,2020-12-18 23:33:24,494306,538236.0,False,5.0,3.0,3.0,157.22223,-72.934326,0.0,True,6.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,1182.0,-2.7658386,8.0,False,True,5.0,5.0,0.0,-5.0,-0.0,True,False,"[-5.0, -5.0, -4.0, -4.0, -3.0, -2.0, -1.0, -0.0]","[-5.0, -5.0, -4.0, -4.0, -3.0, -2.0, -1.0, -0.0]",1.0,525405.0,4.0,538816.0,5.0,0.0,6.0,4.0,False,36.0,7.0,False,8.0,True,True,32.0,36.0,36.0,"[1.0, 3.0, 3.0, 3.0, 3.0, 3.0]",1.0,112.0,0.3794228260035306,107.0,other,other,34,235.0,36.0,195.0,40.0,False,12.0,1290
1608333952_4174515712,2021-02-03 13:20:45,2046285,2069793.0,True,1.0,2.0,5.0,-82.77777,158.20184,0.0,False,5.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,3615.0,-76.672195,6.0,True,False,5.0,4.0,5.0,4.0,5.0,False,False,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]","[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,2069793.0,6.0,2072660.0,5.0,0.0,6.0,6.0,False,216.0,14.0,True,8.0,True,False,0.0,36.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, -0.0]",42.0,71.0,0.9924783175992018,83.0,other,other,58,1027.0,36.0,811.0,216.0,True,12.0,1290
1608233856_1377889536,2020-12-17 19:37:33,32091,78869.0,True,1.0,1.0,5.0,111.111145,117.08624,0.0,False,6.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,367.0,-25.556885,7.0,False,False,5.0,5.0,0.0,5.0,0.0,False,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]",8090.0,78069.0,6.0,81595.0,5.0,0.0,6.0,6.0,False,144.0,0.0,True,0.0,True,True,,36.0,36.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]",8062.0,2.0,0.9999232481387672,2.0,2.0,2.0,5,108.0,36.0,,,False,1.0,1072
1608333952_4174515712,2021-02-03 13:19:51,1991816,2023338.0,True,2.0,5.0,5.0,-178.88889,-7.371643,0.0,False,4.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,737.0,7.222534,6.0,False,False,4.0,3.0,5.0,3.0,5.0,False,False,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]","[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,2021243.0,6.0,2024607.0,4.0,0.0,6.0,6.0,False,216.0,13.0,True,8.0,True,False,216.0,36.0,36.0,"[1.0, 1.0, 1.0, 1.0, 1.0, -0.0]",42.0,71.0,0.9924783175992018,83.0,other,other,52,811.0,36.0,631.0,180.0,True,12.0,1290
1619377557_554053837,2021-04-25 20:09:03,191300,212826.0,False,0.0,2.0,2.0,47.5,-125.97394,0.0,False,2.0,1.0,2.09,"{'bias': 60.0, 'name': 'BST'}",Android,4051.0,-18.41153,5.0,False,False,0.0,1.0,1.0,1.0,1.0,False,False,"[0.0, 1.0, 5.0, 1.0, 5.0]","[0.0, 1.0, 5.0, 1.0, 5.0]",4.0,208775.0,3.0,218691.0,0.0,0.0,7.0,3.0,False,0.0,4.0,False,11.0,True,True,0.0,0.0,0.0,"[2.0, 4.0, 2.0, 3.0, 5.0]",4.0,109.0,0.9087036610637808,111.0,other,other,26,182.0,0.0,182.0,0.0,False,14.0,3688
1608233856_1377889536,2020-12-17 19:37:33,32091,86207.0,False,0.0,4.0,6.0,216.11115,-15.15033,0.0,False,1.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,331.0,10.0008545,7.0,False,False,0.0,0.0,0.0,0.0,0.0,False,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]",8090.0,84836.0,6.0,88016.0,0.0,0.0,6.0,6.0,True,144.0,0.0,True,0.0,True,True,,36.0,36.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]",8062.0,2.0,0.9999232481387672,2.0,2.0,2.0,6,144.0,36.0,,,False,1.0,1072
1608333952_4174515712,2020-12-18 23:30:39,329486,336630.0,False,0.0,3.0,1.0,-210.55554,27.632141,0.0,False,4.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,654.0,-11.667236,7.0,False,False,0.0,3.0,3.0,3.0,3.0,False,False,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",289.0,332865.0,3.0,337611.0,0.0,0.0,7.0,3.0,False,16.0,4.0,False,8.0,True,True,16.0,0.0,0.0,,283.0,18.0,0.9986184664978126,108.0,18.0,other,22,145.0,0.0,145.0,0.0,False,12.0,1290
1619377557_554053837,2021-04-25 20:13:37,465270,482951.0,False,0.0,2.0,3.0,-264.16666,4.110718,0.0,True,4.0,1.0,2.09,"{'bias': 60.0, 'name': 'BST'}",Android,3560.0,526.6508,2.0,True,False,0.0,3.0,3.0,-3.0,-3.0,False,False,"[-3.0, -0.0]","[-3.0, -0.0]",509.0,482951.0,3.0,486199.0,0.0,0.0,4.0,3.0,True,18.0,10.0,False,11.0,True,True,18.0,16.0,,[-0.0],507.0,8.0,0.9994627369713716,1.0,8.0,1.0,53,503.0,16.0,485.0,18.0,False,14.0,3688
1608333952_4174515712,2021-02-03 13:19:51,1991816,2002582.0,False,0.0,2.0,2.0,78.888916,155.42377,0.0,False,6.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,1010.0,27.223694,6.0,False,False,0.0,5.0,5.0,5.0,5.0,False,False,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]","[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,2000408.0,6.0,2003820.0,0.0,0.0,6.0,6.0,False,216.0,13.0,True,8.0,True,False,216.0,36.0,36.0,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,71.0,0.9924783175992018,71.0,other,other,49,703.0,36.0,523.0,180.0,True,12.0,1290
1619377557_554053837,2021-04-25 20:13:37,465270,479391.0,False,0.0,2.0,2.0,286.66663,28.293152,0.0,True,1.0,1.0,2.09,"{'bias': 60.0, 'name': 'BST'}",Android,2845.0,17.513,1.0,True,True,0.0,0.0,0.0,-0.0,-0.0,True,False,[-0.0],[-0.0],10219.0,479391.0,3.0,479985.0,0.0,0.0,1.0,3.0,False,18.0,10.0,False,11.0,True,True,18.0,1.0,,"[0.0, -0.0]",10192.0,1.0,1.0,4.0,1.0,4.0,52,487.0,1.0,469.0,18.0,False,14.0,3688
1608333952_4174515712,2020-12-21 14:16:32,526726,542048.0,True,5.0,5.0,3.0,180.00003,-0.704285,0.0,False,1.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,4397.0,-313.3532,6.0,True,False,1.0,0.0,5.0,0.0,5.0,False,False,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]","[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,542048.0,6.0,545807.0,1.0,0.0,6.0,6.0,False,216.0,11.0,True,8.0,True,False,72.0,36.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, -0.0]",42.0,71.0,0.9924783175992018,83.0,other,other,38,343.0,36.0,199.0,144.0,True,12.0,1290
1619377557_554053837,2021-04-25 22:25:30,291551,317743.0,False,0.0,4.0,3.0,78.33331,118.35181,0.0,False,6.0,1.0,2.09,"{'bias': 60.0, 'name': 'BST'}",Android,3463.0,-58.2399,7.0,True,False,0.0,5.0,5.0,5.0,5.0,False,False,"[5.0, 4.0, 3.0, 2.0, 1.0, 0.0, -0.0]","[5.0, 4.0, 3.0, 2.0, 1.0, 0.0, -0.0]",517.0,317743.0,6.0,322077.0,0.0,0.0,6.0,6.0,False,216.0,14.0,True,11.0,True,False,216.0,36.0,,"[1.0, 2.0, 3.0, 4.0, 5.0, 0.0, -0.0]",517.0,7.0,0.9995394888326042,5.0,7.0,5.0,34,332.0,36.0,183.0,149.0,True,14.0,3688
1619377557_554053837,2021-04-25 20:06:09,17432,33442.0,False,0.0,1.0,2.0,-104.16667,-125.97394,0.0,False,3.0,1.0,2.09,"{'bias': 60.0, 'name': 'BST'}",Android,976.0,-3.340393,7.0,False,False,0.0,2.0,2.0,2.0,2.0,False,False,"[-2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[-2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]",2.0,28424.0,3.0,36376.0,0.0,0.0,7.0,3.0,False,1.0,0.0,False,11.0,True,True,,0.0,0.0,[-0.0],2.0,111.0,0.8077365876122496,1.0,other,1.0,2,1.0,0.0,,,False,14.0,3688
1608333952_4174515712,2021-02-03 13:20:45,2046285,2076158.0,False,0.0,0.0,6.0,78.33334,133.19916,0.0,False,6.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,206.0,-3.8893127,6.0,False,False,0.0,5.0,5.0,5.0,5.0,False,False,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]","[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,2075729.0,6.0,2078571.0,0.0,0.0,6.0,6.0,True,216.0,14.0,True,8.0,True,False,0.0,36.0,36.0,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,71.0,0.9924783175992018,71.0,other,other,59,1063.0,36.0,847.0,216.0,True,12.0,1290
1619377557_554053837,2021-04-25 20:11:11,319028,325314.0,False,0.0,4.0,1.0,69.16666,-118.469055,0.0,False,2.0,1.0,2.09,"{'bias': 60.0, 'name': 'BST'}",Android,16172.0,-354.23615,3.0,True,False,0.0,1.0,1.0,1.0,1.0,False,False,"[1.0, -1.0, -0.0]","[1.0, -1.0, -0.0]",25.0,325314.0,4.0,331617.0,0.0,0.0,2.0,4.0,False,22.0,6.0,False,11.0,True,True,-20.0,4.0,,,25.0,88.0,0.98718243917415,112.0,other,first,38,444.0,4.0,260.0,184.0,True,14.0,3688
1608333952_4174515712,2021-02-03 13:21:39,2099376,2106023.0,False,0.0,2.0,2.0,82.7778,143.20026,0.0,False,6.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,187.0,5.554901,6.0,False,False,0.0,5.0,5.0,5.0,5.0,False,False,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]","[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,2105677.0,6.0,2108238.0,0.0,0.0,6.0,6.0,False,216.0,15.0,True,8.0,True,False,0.0,36.0,36.0,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,71.0,0.9924783175992018,71.0,other,other,61,1135.0,36.0,919.0,216.0,True,12.0,1290
1608333952_4174515712,2020-12-18 23:33:24,494306,510801.0,True,3.0,2.0,2.0,16.111115,-0.148682,0.0,False,1.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,1942.0,166.10843,6.0,False,False,3.0,0.0,3.0,0.0,3.0,False,False,"[1.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[1.0, 3.0, 3.0, 3.0, 3.0, 3.0]",6.0,506884.0,4.0,515231.0,3.0,0.0,7.0,4.0,False,36.0,7.0,False,8.0,True,True,32.0,0.0,0.0,"[1.0, 5.0, 1.0, 5.0]",6.0,107.0,0.9390973981119042,81.0,other,other,33,199.0,0.0,194.0,5.0,False,12.0,1290
1619377557_554053837,2021-04-25 20:08:20,148155,163687.0,False,0.0,2.0,2.0,-205.0,6.612366,0.0,False,4.0,1.0,2.09,"{'bias': 60.0, 'name': 'BST'}",Android,191.0,0.0032353401,7.0,False,False,0.0,3.0,3.0,3.0,3.0,False,False,"[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]","[3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]",289.0,160600.0,3.0,166170.0,0.0,0.0,7.0,3.0,False,0.0,3.0,False,11.0,True,True,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",283.0,18.0,0.9986184664978126,12.0,18.0,12.0,20,182.0,0.0,146.0,36.0,False,14.0,3688
1608333952_4174515712,2020-12-21 14:05:22,84796,115344.0,True,5.0,0.0,5.0,167.7778,-7.927307,0.0,False,1.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,799.0,17.777954,6.0,False,False,1.0,0.0,5.0,0.0,5.0,False,False,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]","[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,113173.0,6.0,116838.0,1.0,0.0,6.0,6.0,False,144.0,10.0,True,8.0,True,False,144.0,36.0,36.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",42.0,71.0,0.9924783175992018,48.0,other,other,11,108.0,36.0,0.0,108.0,False,12.0,1290
1608333952_4174515712,2020-12-18 23:34:33,563164,606534.0,True,0.0,4.0,5.0,207.22226,129.86542,0.0,True,6.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,4639.0,41.119568,6.0,True,False,0.0,5.0,5.0,-5.0,-5.0,False,False,"[-5.0, -4.0, -3.0, -2.0, -1.0, -0.0]","[-5.0, -4.0, -3.0, -2.0, -1.0, -0.0]",157.0,606534.0,6.0,611402.0,0.0,0.0,6.0,6.0,False,216.0,8.0,True,8.0,True,True,180.0,36.0,,"[-5.0, -4.0, -3.0, -2.0, -1.0, -0.0]",157.0,31.0,0.997582316371172,31.0,other,other,46,631.0,36.0,415.0,216.0,True,12.0,1290
1608333952_4174515712,2020-12-18 23:34:33,563164,597331.0,False,5.0,3.0,4.0,38.333344,272.1031,0.0,True,5.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,4372.0,517.8324,6.0,True,False,5.0,4.0,5.0,-4.0,-5.0,False,False,"[-5.0, -4.0, -3.0, -2.0, -1.0, -0.0]","[-5.0, -4.0, -3.0, -2.0, -1.0, -0.0]",157.0,597331.0,6.0,602481.0,5.0,0.0,6.0,6.0,False,216.0,8.0,True,8.0,True,True,180.0,36.0,,"[-5.0, -4.0, -3.0, -2.0, -1.0, -0.0]",157.0,31.0,0.997582316371172,31.0,other,other,45,595.0,36.0,379.0,216.0,True,12.0,1290
1608333952_4174515712,2021-02-03 13:21:39,2099376,2117709.0,True,2.0,1.0,4.0,75.00003,125.976135,0.0,False,6.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,219.0,-7.778595,6.0,False,False,4.0,5.0,1.0,5.0,1.0,False,False,"[1.0, 1.0, 1.0, 1.0, 1.0, -0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, -0.0]",30.0,2116953.0,6.0,2119496.0,4.0,0.0,6.0,6.0,False,216.0,15.0,True,8.0,True,False,0.0,36.0,36.0,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",30.0,83.0,0.9892163634968149,71.0,other,other,63,1207.0,36.0,991.0,216.0,True,12.0,1290
1608333952_4174515712,2020-12-21 14:05:22,84796,102829.0,False,3.0,3.0,3.0,-73.33333,118.75311,0.0,False,5.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,5764.0,431.6789,7.0,True,False,3.0,4.0,1.0,4.0,1.0,False,False,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",72.0,102829.0,6.0,105036.0,3.0,0.0,7.0,6.0,False,144.0,10.0,True,8.0,True,False,144.0,0.0,,"[5.0, -4.0, -3.0, -2.0, -1.0, -0.0]",72.0,48.0,0.996008903215903,100.0,other,other,9,72.0,0.0,0.0,72.0,False,12.0,1290
1608333952_4174515712,2020-12-18 23:33:24,494306,499763.0,True,4.0,5.0,1.0,-221.11111,13.74176,0.0,False,4.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,1726.0,527.7993,4.0,False,False,2.0,3.0,1.0,3.0,1.0,False,False,"[1.0, 5.0, 1.0, 5.0]","[1.0, 5.0, 1.0, 5.0]",32.0,496527.0,4.0,502567.0,2.0,0.0,7.0,4.0,False,36.0,7.0,False,8.0,True,True,32.0,0.0,0.0,,32.0,81.0,0.9899071302479086,112.0,other,other,32,199.0,0.0,178.0,21.0,False,12.0,1290
1610650624_4196779776,2021-01-14 17:58:00,107089,131538.0,False,5.0,3.0,4.0,142.96298,192.62231,0.0,False,6.0,1.0,2.0,"{'bias': -60.0, 'name': '-01'}",Android,166.0,-2.223053,8.0,False,False,5.0,5.0,0.0,5.0,0.0,False,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",342.0,130974.0,4.0,133169.0,5.0,0.0,7.0,4.0,True,38.0,1.0,False,,False,False,-36.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0]",341.0,12.0,0.9990789776652084,2.0,12.0,2.0,9,112.0,0.0,37.0,75.0,False,1.0,2719
1608290560_3509209088,2020-12-18 11:23:32,61202,97381.0,False,0.0,5.0,3.0,-20.800018,44.399963,0.0,True,2.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",iOS,6384.0,287.99997,8.0,False,False,0.0,1.0,1.0,-1.0,-1.0,False,False,"[1.0, -1.0, -1.0, -5.0, 0.0, 5.0, 4.0, 3.0]","[1.0, -1.0, -1.0, -5.0, 0.0, 5.0, 4.0, 3.0]",1.0,90997.0,3.0,105479.0,0.0,0.0,7.0,3.0,True,2.0,0.0,False,,False,False,,0.0,0.0,[-0.0],1.0,112.0,0.3794228260035306,1.0,other,1.0,5,2.0,0.0,,,False,1.0,1201
1608290560_3509209088,2020-12-18 11:23:32,61202,83348.0,True,1.0,0.0,2.0,-39.200012,-8.400024,0.0,True,6.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",iOS,4101.0,-64.8,1.0,True,True,5.0,5.0,0.0,-5.0,-0.0,True,False,[-0.0],[-0.0],10219.0,83348.0,3.0,83930.0,5.0,0.0,1.0,3.0,False,2.0,0.0,False,,False,False,,1.0,,"[-2.0, -2.0, -2.0, 2.0, -2.0, -2.0, -0.0]",10192.0,1.0,1.0,112.0,1.0,other,4,2.0,1.0,,,False,1.0,1201
